,treatment,environment,Languages,Consonantal +/−,Grapheme,IPA,IPA key,Lateral +/−,Manner of articulation,Place of articulation,Place value,Sibilant +/−,Sonority value,Voice +/−,version
32,D-,"#_{a,O}",CAS ESP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
33,D-,"#_{a,O}",AND ESP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
34,D-,"#_{a,O}",ARG,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
0,C-,#_E,BR POR,+,c,s,50,−,F,D,1,+,2,−,1.0
1,C-,#_E,AMR ESP,+,c,s,50,−,F,D,1,+,2,−,1.0
2,C-,#_E,LAT,+,C,k,19,−,P,K,-3,−,4,−,1.0
3,C-,#_E,CAT,+,c,s̠,52,−,F,D,0.5,+,2,−,1.0
4,C-,#_E,VAL,+,c,s̠,52,−,F,D,0.5,+,2,−,1.0
5,C-,#_E,BAL,+,c,s̠,52,−,F,D,0.5,+,2,−,1.0
6,C-,#_E,OCC,+,c,s̠,52,−,F,D,0.5,+,2,−,1.0
7,C-,#_E,GAS OCC,+,c,s̠,52,−,F,D,0.5,+,2,−,1.0
8,C-,#_E,EU FRA,+,c,s̪,48,−,F,D,1.3333333333333333,+,2,−,1.0
9,C-,#_E,QBC FRA,+,c,s̪,48,−,F,D,1.3333333333333333,+,2,−,1.0
10,C-,#_E,WAL,+,c,s̪,48,−,F,D,1.3333333333333333,+,2,−,1.0
11,C-,#_E,ARP,+,c,s̪,48,−,F,D,1.3333333333333333,+,2,−,1.0
12,C-,#_E,LIG,,,,,,,,,,,,1.0
13,C-,#_E,EU POR,+,c,s,50,−,F,D,1,+,2,−,1.0
14,C-,#_E,LMO,+,sc,ʃ~s̠,103,−,F,Ɉ~D,0,+,2,−,1.0
15,C-,#_E,RMH,+,tsch,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
16,C-,#_E,FUR,,c,t̠͡ʃ~s̠?,,,,,,,,,1.0
17,C-,#_E,LOG SRD,+,ch,k,19,−,P,K,-3,−,4,−,1.0
18,C-,#_E,CPN SRD,+,c,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
19,C-,#_E,COR,,,,,,,,,,,,1.0
20,C-,#_E,ITA,+,c,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
21,C-,#_E,ABR,,,,,,,,,,,,1.0
22,C-,#_E,CAM,+,c,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
23,C-,#_E,PGL,,,,,,,,,,,,1.0
24,C-,#_E,SCN,+,c,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
25,C-,#_E,VEN,+,s/th,s̠~θ,104,−,F,D,1.25,+/−,2,−,1.0
26,C-,#_E,ARO,+,ts,t͡s̪,26,−,P͡F,D,1.3333333333333333,+,3,−,1.0
27,C-,#_E,ROM,+,c,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
28,C-,#_E,GAL,+,c,θ (s),102,−,F,D,1.6666666666666667,+/−,2,−,1.0
29,C-,#_E,ASL,+,c,θ,44,−,F,D,2,−,2,−,1.0
30,C-,#_E,CAS ESP,+,c,θ,44,−,F,D,2,−,2,−,1.0
31,C-,#_E,AND ESP,+,c,s̟,46,−,F,D,1.6666666666666667,+,2,−,1.0
32,C-,#_E,ARG,+,c,θ,44,−,F,D,2,−,2,−,1.0
0,C-,#_a,BR POR,+,c,k,19,−,P,K,-3,−,4,−,1.0
1,C-,#_a,AMR ESP,+,c,k,19,−,P,K,-3,−,4,−,1.0
2,C-,#_a,LAT,+,C,k,19,−,P,K,-3,−,4,−,1.0
3,C-,#_a,CAT,+,c,k,19,−,P,K,-3,−,4,−,1.0
4,C-,#_a,VAL,+,c,k,19,−,P,K,-3,−,4,−,1.0
5,C-,#_a,BAL,+,c,k,19,−,P,K,-3,−,4,−,1.0
6,C-,#_a,OCC,+,c (ch),k (t͡s),105,−,P (P͡F),K (Ɉ),2.3333333333333335,−/+,3.6666666666666665,−,1.0
7,C-,#_a,GAS OCC,+,c,k,19,−,P,K,-3,−,4,−,1.0
8,C-,#_a,EU FRA,+,ch,ʃ,56,−,F,Ɉ,-0.5,+,2,−,1.0
9,C-,#_a,QBC FRA,+,ch,ʃ,56,−,F,Ɉ,-0.5,+,2,−,1.0
10,C-,#_a,WAL,+,tch,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
11,C-,#_a,ARP,+,ch,t͡s̪~θ,106,−,P͡F~F,D,1.6666666666666665,+/−,2.5,−,1.0
12,C-,#_a,LIG,+,c,k,19,−,P,K,-3,−,4,−,1.0
13,C-,#_a,EU POR,+,c,k,19,−,P,K,-3,−,4,−,1.0
14,C-,#_a,LMO,+,c,k,19,−,P,K,-3,−,4,−,1.0
15,C-,#_a,RMH,,,,,,,,,,,,1.0
16,C-,#_a,FUR,,,,,,,,,,,,1.0
17,C-,#_a,LOG SRD,+,c,k,19,−,P,K,-3,−,4,−,1.0
18,C-,#_a,CPN SRD,+,c,k,19,−,P,K,-3,−,4,−,1.0
19,C-,#_a,COR,+,c,k,19,−,P,K,-3,−,4,−,1.0
20,C-,#_a,ITA,+,c,k,19,−,P,K,-3,−,4,−,1.0
21,C-,#_a,ABR,+,c,k,19,−,P,K,-3,−,4,−,1.0
22,C-,#_a,CAM,+,c,k,19,−,P,K,-3,−,4,−,1.0
23,C-,#_a,PGL,+,c,k,19,−,P,K,-3,−,4,−,1.0
24,C-,#_a,SCN,+,c,k,19,−,P,K,-3,−,4,−,1.0
25,C-,#_a,VEN,+,c,k,19,−,P,K,-3,−,4,−,1.0
26,C-,#_a,ARO,+,c,k,19,−,P,K,-3,−,4,−,1.0
27,C-,#_a,ROM,+,c,k,19,−,P,K,-3,−,4,−,1.0
28,C-,#_a,GAL,+,c,k,19,−,P,K,-3,−,4,−,1.0
29,C-,#_a,ASL,+,c,k,19,−,P,K,-3,−,4,−,1.0
30,C-,#_a,CAS ESP,+,c,k,19,−,P,K,-3,−,4,−,1.0
31,C-,#_a,AND ESP,+,c,k,19,−,P,K,-3,−,4,−,1.0
32,C-,#_a,ARG,+,c,k,19,−,P,K,-3,−,4,−,1.0
0,C-,"#_{o,ŭ}",BR POR,+,c,k,19,−,P,K,-3,−,4,−,1.0
1,C-,"#_{o,ŭ}",AMR ESP,+,c,k,19,−,P,K,-3,−,4,−,1.0
2,C-,"#_{o,ŭ}",LAT,+,C,k,19,−,P,K,-3,−,4,−,1.0
3,C-,"#_{o,ŭ}",CAT,+,c,k,19,−,P,K,-3,−,4,−,1.0
4,C-,"#_{o,ŭ}",VAL,+,c,k,19,−,P,K,-3,−,4,−,1.0
5,C-,"#_{o,ŭ}",BAL,+,c,k,19,−,P,K,-3,−,4,−,1.0
6,C-,"#_{o,ŭ}",OCC,+,c,k,19,−,P,K,-3,−,4,−,1.0
7,C-,"#_{o,ŭ}",GAS OCC,+,c,k,19,−,P,K,-3,−,4,−,1.0
8,C-,"#_{o,ŭ}",EU FRA,+,c,k,19,−,P,K,-3,−,4,−,1.0
9,C-,"#_{o,ŭ}",QBC FRA,+,c,k,19,−,P,K,-3,−,4,−,1.0
10,C-,"#_{o,ŭ}",WAL,+,c,k,19,−,P,K,-3,−,4,−,1.0
11,C-,"#_{o,ŭ}",ARP,+,c,k,19,−,P,K,-3,−,4,−,1.0
12,C-,"#_{o,ŭ}",LIG,+,c,k,19,−,P,K,-3,−,4,−,1.0
13,C-,"#_{o,ŭ}",EU POR,+,c,k,19,−,P,K,-3,−,4,−,1.0
14,C-,"#_{o,ŭ}",LMO,+,c,k,19,−,P,K,-3,−,4,−,1.0
15,C-,"#_{o,ŭ}",RMH,,,,,,,,,,,,1.0
