,treatment,environment,position,Languages,Consonantal +/−,Grapheme,IPA,IPA key,Lateral +/−,Manner of articulation,Place of articulation,Place value,Sibilant +/−,Sonority value,Voice +/−,version
28,C-,#_E,1,GAL,+,c,θ (s),102,−,F,D,1.6666666666666667,+/−,2,−,1.0
29,C-,#_E,1,ASL,+,c,θ,44,−,F,D,2,−,2,−,1.0
30,C-,#_E,1,CAS ESP,+,c,θ,44,−,F,D,2,−,2,−,1.0
31,C-,#_E,1,AND ESP,+,c,s̟,46,−,F,D,1.6666666666666667,+,2,−,1.0
32,C-,#_E,1,ARG,+,c,θ,44,−,F,D,2,−,2,−,1.0
0,C-,#_a,1,BR POR,+,c,k,19,−,P,K,-3,−,4,−,1.0
1,C-,#_a,1,AMR ESP,+,c,k,19,−,P,K,-3,−,4,−,1.0
2,C-,#_a,1,LAT,+,C,k,19,−,P,K,-3,−,4,−,1.0
3,C-,#_a,1,CAT,+,c,k,19,−,P,K,-3,−,4,−,1.0
4,C-,#_a,1,VAL,+,c,k,19,−,P,K,-3,−,4,−,1.0
5,C-,#_a,1,BAL,+,c,k,19,−,P,K,-3,−,4,−,1.0
6,C-,#_a,1,OCC,+,c (ch),k (t͡s),105,−,P (P͡F),K (Ɉ),2.3333333333333335,−/+,3.6666666666666665,−,1.0
7,C-,#_a,1,GAS OCC,+,c,k,19,−,P,K,-3,−,4,−,1.0
8,C-,#_a,1,EU FRA,+,ch,ʃ,56,−,F,Ɉ,-0.5,+,2,−,1.0
9,C-,#_a,1,QBC FRA,+,ch,ʃ,56,−,F,Ɉ,-0.5,+,2,−,1.0
10,C-,#_a,1,WAL,+,tch,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
11,C-,#_a,1,ARP,+,ch,t̠͡ʃ~θ,106,−,P͡F~F,Ɉ~D,0.75,+ (−),2.5,−,1.0
12,C-,#_a,1,LIG,+,c,k,19,−,P,K,-3,−,4,−,1.0
13,C-,#_a,1,EU POR,+,c,k,19,−,P,K,-3,−,4,−,1.0
14,C-,#_a,1,LMO,+,c,k,19,−,P,K,-3,−,4,−,1.0
15,C-,#_a,1,RMH,+,ch,k~c,150,−,P,K~Ɉ,-2.5,−,4,−,1.0
16,C-,#_a,1,FUR,+,cj,c~t̠͡ʃ,152,−,P~P͡F,Ɉ,-1.25,−/+,3.5,−,1.0
17,C-,#_a,1,LOG SRD,+,c,k,19,−,P,K,-3,−,4,−,1.0
18,C-,#_a,1,CPN SRD,+,c,k,19,−,P,K,-3,−,4,−,1.0
19,C-,#_a,1,COR,+,c,k,19,−,P,K,-3,−,4,−,1.0
20,C-,#_a,1,ITA,+,c,k,19,−,P,K,-3,−,4,−,1.0
21,C-,#_a,1,ABR,+,c,k,19,−,P,K,-3,−,4,−,1.0
22,C-,#_a,1,CAM,+,c,k,19,−,P,K,-3,−,4,−,1.0
23,C-,#_a,1,PGL,+,c,k,19,−,P,K,-3,−,4,−,1.0
24,C-,#_a,1,SCN,+,c,k,19,−,P,K,-3,−,4,−,1.0
25,C-,#_a,1,VEN,+,c,k,19,−,P,K,-3,−,4,−,1.0
26,C-,#_a,1,ARO,+,c,k,19,−,P,K,-3,−,4,−,1.0
27,C-,#_a,1,ROM,+,c,k,19,−,P,K,-3,−,4,−,1.0
28,C-,#_a,1,GAL,+,c,k,19,−,P,K,-3,−,4,−,1.0
29,C-,#_a,1,ASL,+,c,k,19,−,P,K,-3,−,4,−,1.0
30,C-,#_a,1,CAS ESP,+,c,k,19,−,P,K,-3,−,4,−,1.0
31,C-,#_a,1,AND ESP,+,c,k,19,−,P,K,-3,−,4,−,1.0
32,C-,#_a,1,ARG,+,c,k,19,−,P,K,-3,−,4,−,1.0
0,C-,"#_{o,ŭ}",1,BR POR,+,c,k,19,−,P,K,-3,−,4,−,1.0
